Tipo de ensayo;"Número de
Granulometría - Malla 4000 µm;7990;ALIMENTOS TANDIL S.A.;50,30
Granulometría - Malla 4000 µm;7993;GRUPO ALIMENTICIO S.A.;42,80
Granulometría - Malla 4000 µm;8002;GRUPO ALIMENTICIO S.A.;42,90
Granulometría - Malla 4000 µm;8006;GRUPO ALIMENTICIO S.A.;36,70
Granulometría - Malla 4000 µm;8017;GRANAM;43,10
Granulometría - Malla 4000 µm;8026;GRANAM;40,70
Granulometría - Malla 4000 µm;8032;ALIMENTOS TANDIL S.A.;40,30
Granulometría - Malla 4000 µm;8040;GRANAM;37,00
Granulometría - Malla 4000 µm;8046;GRUPO ALIMENTICIO S.A.;42,10
Granulometría - Malla 4000 µm;8048;GRUPO ALIMENTICIO S.A.;43,60
Granulometría - Malla 4000 µm;8052;GRANAM;43,70
Granulometría - Malla 4000 µm;8053;GRUPO ALIMENTICIO S.A.;47,90
Granulometría - Malla 4000 µm;8067;GRUPO ALIMENTICIO S.A.;44,50
Granulometría - Malla 4000 µm;8071;GRUPO ALIMENTICIO S.A.;45,10
Granulometría - Malla 4000 µm;8072;GRUPO ALIMENTICIO S.A.;47,50
Granulometría - Malla 4000 µm;8074;ALIMENTOS TANDIL S.A.;44,20
Granulometría - Malla 4000 µm;8085;GRANAM;45,70
Granulometría - Malla 4000 µm;8086;GRUPO ALIMENTICIO S.A.;48,90
Granulometría - Malla 4000 µm;8087;GRUPO ALIMENTICIO S.A.;46,20
Granulometría - Malla 4000 µm;8092;ALIMENTOS TANDIL S.A.;45,80
Granulometría - Malla 4000 µm;8107;ALIMENTOS TANDIL S.A.;43,20
Granulometría - Malla 4000 µm;8109;GRANAM;40,80
Granulometría - Malla 4000 µm;8130;GRUPO ALIMENTICIO S.A.;46,40
Granulometría - Malla 4000 µm;8143;GRUPO ALIMENTICIO S.A.;46,50
Granulometría - Malla 4000 µm;8208;GRUPO ALIMENTICIO S.A.;51,40
Granulometría - Malla 4000 µm;8215;GRUPO ALIMENTICIO S.A.;43,50
Granulometría - Malla 4000 µm;8216;GRUPO ALIMENTICIO S.A.;44,90
Granulometría - Malla 4000 µm;8217;GRANAM;36,10
Granulometría - Malla 4000 µm;8236;GRUPO ALIMENTICIO S.A.;44,10
Granulometría - Malla 4000 µm;8237;GRANAM;40,00
Granulometría - Malla 4000 µm;8246;ALIMENTOS TANDIL S.A.;39,90
Granulometría - Malla 4000 µm;8255;GRUPO ALIMENTICIO S.A.;49,10
Granulometría - Malla 4000 µm;8259;GRUPO ALIMENTICIO S.A.;45,50
Granulometría - Malla 4000 µm;8263;ALIMENTOS TANDIL S.A.;48,50
Granulometría - Malla 4000 µm;8264;GRUPO ALIMENTICIO S.A.;46,00
Granulometría - Malla 4000 µm;8266;GRANAM;43,10
Granulometría - Malla 4000 µm;8270;GRANAM;44,80
Granulometría - Malla 4000 µm;8282;GRUPO ALIMENTICIO S.A.;47,00
Granulometría - Malla 4000 µm;8289;GRANAM;41,60
Granulometría - Malla 4000 µm;8292;GRUPO ALIMENTICIO S.A.;52,70
Granulometría - Malla 4000 µm;8301;GRUPO ALIMENTICIO S.A.;50,80
Granulometría - Malla 4000 µm;8302;GRANAM;37,70
Granulometría - Malla 4000 µm;8303;GRANAM;37,70
Granulometría - Malla 4000 µm;8304;GRANAM;47,20
Granulometría - Malla 4000 µm;8309;GRANAM;43,80
Granulometría - Malla 4000 µm;8330;ALIMENTOS TANDIL S.A.;40,40
Granulometría - Malla 4000 µm;8331;GRANAM;42,60
Granulometría - Malla 4000 µm;8339;GRUPO ALIMENTICIO S.A.;41,20
Granulometría - Malla 4000 µm;8340;GRUPO ALIMENTICIO S.A.;47,30
Granulometría - Malla 4000 µm;8341;GRUPO ALIMENTICIO S.A.;45,50
Granulometría - Malla 4000 µm;8343;GRANAM;40,30
Granulometría - Malla 4000 µm;8344;GRANAM;41,10
Granulometría - Malla 4000 µm;8355;GRUPO ALIMENTICIO S.A.;45,80
Granulometría - Malla 4000 µm;8361;GRUPO ALIMENTICIO S.A.;45,20
Granulometría - Malla 4000 µm;8374;GRUPO ALIMENTICIO S.A.;49,60
Granulometría - Malla 4000 µm;8378;GRANAM;40,40
Granulometría - Malla 4000 µm;8386;GRANAM;37,00
Granulometría - Malla 4000 µm;8391;GRUPO ALIMENTICIO S.A.;46,10
Granulometría - Malla 4000 µm;8406;GRUPO ALIMENTICIO S.A.;41,90
Granulometría - Malla 4000 µm;8411;ALIMENTOS TANDIL S.A.;43,00
Granulometría - Malla 4000 µm;8415;GRUPO ALIMENTICIO S.A.;41,60
Granulometría - Malla 4000 µm;8416;GRUPO ALIMENTICIO S.A.;46,60
Granulometría - Malla 4000 µm;8419;GRANAM;38,50
Granulometría - Malla 4000 µm;8436;ALIMENTOS TANDIL S.A.;41,40
Granulometría - Malla 4000 µm;8437;ALIMENTOS TANDIL S.A.;40,40
Granulometría - Malla 4000 µm;8442;GRANAM;41,20
Granulometría - Malla 4000 µm;8446;ALIMENTOS TANDIL S.A.;44,90
Granulometría - Malla 4000 µm;8447;GRANAM;42,40
Granulometría - Malla 4000 µm;8449;GRUPO ALIMENTICIO S.A.;40,10
Granulometría - Malla 4000 µm;8474;GRUPO ALIMENTICIO S.A.;45,70
Granulometría - Malla 4000 µm;8478;ALIMENTOS TANDIL S.A.;37,80
Granulometría - Malla 4000 µm;8481;GRANAM;40,10
Granulometría - Malla 4000 µm;8492;GRUPO ALIMENTICIO S.A.;44,70
Granulometría - Malla 4000 µm;8510;ALIMENTOS TANDIL S.A.;42,20
Granulometría - Malla 4000 µm;8519;GRANAM;30,50
Granulometría - Malla 4000 µm;8548;ALIMENTOS TANDIL S.A.;32,70
Granulometría - Malla 4000 µm;8585;GRANAM;44,80
Granulometría - Malla 4000 µm;8605;GRANAM;37,10
Granulometría - Malla 4000 µm;8606;GRANAM;37,10
Granulometría - Malla 4000 µm;8642;GRUPO ALIMENTICIO S.A.;38,90
Granulometría - Malla 4000 µm;8643;GRUPO ALIMENTICIO S.A.;41,10
Granulometría - Malla 3350 µm;7481;GRUPO ALIMENTICIO S.A.;6,60
Granulometría - Malla 3350 µm;7489;GRUPO ALIMENTICIO S.A.;4,80
Granulometría - Malla 3350 µm;7493;ALIMENTOS TANDIL S.A.;5,20
Granulometría - Malla 3350 µm;7494;GRUPO ALIMENTICIO S.A.;5,60
Granulometría - Malla 3350 µm;7524;GRUPO ALIMENTICIO S.A.;7,50
Granulometría - Malla 3350 µm;7545;GRANAM;1,40
Granulometría - Malla 3350 µm;7547;GRANAM;1,80
Granulometría - Malla 3350 µm;7550;GRANAM;2,40
Granulometría - Malla 3350 µm;7554;GRANAM;2,90
Granulometría - Malla 3350 µm;7555;GRANAM;2,40
Granulometría - Malla 3350 µm;7557;GRANAM;2,00
Granulometría - Malla 3350 µm;7571;GRUPO ALIMENTICIO S.A.;9,50
Granulometría - Malla 3350 µm;7577;GRANAM;2,00
Granulometría - Malla 3350 µm;7581;GRANAM;2,90
Granulometría - Malla 3350 µm;7595;GRANAM;2,40
Granulometría - Malla 3350 µm;7604;GRUPO ALIMENTICIO S.A.;10,00
Granulometría - Malla 3350 µm;7607;GRUPO ALIMENTICIO S.A.;7,60
Granulometría - Malla 3350 µm;7608;GRUPO ALIMENTICIO S.A.;8,00
Granulometría - Malla 3350 µm;7609;GRUPO ALIMENTICIO S.A.;7,00
Granulometría - Malla 3350 µm;7623;GRUPO ALIMENTICIO S.A.;8,00
Granulometría - Malla 3350 µm;7625;GRANAM;1,80
Granulometría - Malla 3350 µm;7631;ALIMENTOS TANDIL S.A.;5,40
Granulometría - Malla 3350 µm;7643;GRUPO ALIMENTICIO S.A.;8,10
Granulometría - Malla 3350 µm;7647;ALIMENTOS TANDIL S.A.;4,70
Granulometría - Malla 3350 µm;7648;GRUPO ALIMENTICIO S.A.;6,10
Granulometría - Malla 3350 µm;7659;GRUPO ALIMENTICIO S.A.;8,90
Granulometría - Malla 3350 µm;7661;ALIMENTOS TANDIL S.A.;5,00
Granulometría - Malla 3350 µm;7663;GRANAM;2,70
Granulometría - Malla 3350 µm;7666;IPCON S.A.;7,10
Granulometría - Malla 3350 µm;7706;ALIMENTOS TANDIL S.A.;4,20
Granulometría - Malla 3350 µm;7727;GRANAM;3,10
Granulometría - Malla 3350 µm;7735;ALIMENTOS TANDIL S.A.;5,90
Granulometría - Malla 3350 µm;7736;GRANAM;3,40
Granulometría - Malla 3350 µm;7740;GRANAM;3,10
Granulometría - Malla 3350 µm;7746;GRANAM;2,70
Granulometría - Malla 3350 µm;7749;GRANAM;4,90
Granulometría - Malla 3350 µm;7753;GRANAM;2,70
Granulometría - Malla 3350 µm;7785;GRANAM;2,80
Granulometría - Malla 3350 µm;7793;GRUPO ALIMENTICIO S.A.;6,30
Granulometría - Malla 3350 µm;7799;GRANAM;3,90
Granulometría - Malla 3350 µm;7807;GRUPO ALIMENTICIO S.A.;8,50
Granulometría - Malla 3350 µm;7808;GRANAM;2,70
Granulometría - Malla 3350 µm;7815;GRUPO ALIMENTICIO S.A.;6,30
Granulometría - Malla 3350 µm;7827;GRANAM;2,60
Granulometría - Malla 3350 µm;7828;GRUPO ALIMENTICIO S.A.;8,60
Granulometría - Malla 3350 µm;7829;GRUPO ALIMENTICIO S.A.;5,40
Granulometría - Malla 3350 µm;7821;GRANAM;2,90
Granulometría - Malla 3350 µm;7832;GRANAM;2,90
Granulometría - Malla 3350 µm;7833;GRUPO ALIMENTICIO S.A.;5,30
Granulometría - Malla 3350 µm;7837;GRUPO ALIMENTICIO S.A.;9,60
Granulometría - Malla 3350 µm;7842;GRUPO ALIMENTICIO S.A.;11,50
Granulometría - Malla 3350 µm;7856;GRUPO ALIMENTICIO S.A.;4,30
Granulometría - Malla 3350 µm;7869;GRUPO ALIMENTICIO S.A.;7,00
Granulometría - Malla 3350 µm;7883;GRUPO ALIMENTICIO S.A.;7,20
Granulometría - Malla 3350 µm;7884;GRUPO ALIMENTICIO S.A.;6,40
Granulometría - Malla 3350 µm;7894;GRANAM;2,40
Granulometría - Malla 3350 µm;7954;GRUPO ALIMENTICIO S.A.;5,20
Granulometría - Malla 3350 µm;7958;GRANAM;2,00
Granulometría - Malla 3350 µm;7989;ALIMENTOS TANDIL S.A.;6,20
Granulometría - Malla 3350 µm;7990;ALIMENTOS TANDIL S.A.;6,70
Granulometría - Malla 3350 µm;7993;GRUPO ALIMENTICIO S.A.;5,50
Granulometría - Malla 3350 µm;8002;GRUPO ALIMENTICIO S.A.;5,40
Granulometría - Malla 3350 µm;8006;GRUPO ALIMENTICIO S.A.;3,50
Granulometría - Malla 3350 µm;8017;GRANAM;5,20
Granulometría - Malla 3350 µm;8026;GRANAM;2,50
Granulometría - Malla 3350 µm;8032;ALIMENTOS TANDIL S.A.;4,80
Granulometría - Malla 3350 µm;8040;GRANAM;2,70
Granulometría - Malla 3350 µm;8046;GRUPO ALIMENTICIO S.A.;5,80
Granulometría - Malla 3350 µm;8048;GRUPO ALIMENTICIO S.A.;5,60
Granulometría - Malla 3350 µm;8052;GRANAM;3,00
Granulometría - Malla 3350 µm;8053;GRUPO ALIMENTICIO S.A.;9,50
Granulometría - Malla 3350 µm;8067;GRUPO ALIMENTICIO S.A.;7,10
Granulometría - Malla 3350 µm;8071;GRUPO ALIMENTICIO S.A.;8,60
Granulometría - Malla 3350 µm;8072;GRUPO ALIMENTICIO S.A.;6,90
Granulometría - Malla 3350 µm;8074;ALIMENTOS TANDIL S.A.;6,90
Granulometría - Malla 3350 µm;8085;GRANAM;3,60
Granulometría - Malla 3350 µm;8086;GRUPO ALIMENTICIO S.A.;7,10
Granulometría - Malla 3350 µm;8087;GRUPO ALIMENTICIO S.A.;8,00
Granulometría - Malla 3350 µm;8092;ALIMENTOS TANDIL S.A.;3,40
Granulometría - Malla 3350 µm;8107;ALIMENTOS TANDIL S.A.;4,60
Granulometría - Malla 3350 µm;8109;GRANAM;3,30
Granulometría - Malla 3350 µm;8130;GRUPO ALIMENTICIO S.A.;8,50
Granulometría - Malla 3350 µm;8143;GRUPO ALIMENTICIO S.A.;6,60
Granulometría - Malla 3350 µm;8208;GRUPO ALIMENTICIO S.A.;8,30
Granulometría - Malla 3350 µm;8215;GRUPO ALIMENTICIO S.A.;7,50
Granulometría - Malla 3350 µm;8216;GRUPO ALIMENTICIO S.A.;6,60
Granulometría - Malla 3350 µm;8217;GRANAM;0,90
Granulometría - Malla 3350 µm;8236;GRUPO ALIMENTICIO S.A.;4,80
Granulometría - Malla 3350 µm;8237;GRANAM;1,80
Granulometría - Malla 3350 µm;8246;ALIMENTOS TANDIL S.A.;6,00
Granulometría - Malla 3350 µm;8255;GRUPO ALIMENTICIO S.A.;5,10
Granulometría - Malla 3350 µm;8259;GRUPO ALIMENTICIO S.A.;7,10
Granulometría - Malla 3350 µm;8263;ALIMENTOS TANDIL S.A.;5,20
Granulometría - Malla 3350 µm;8264;GRUPO ALIMENTICIO S.A.;8,20
Granulometría - Malla 3350 µm;8266;GRANAM;3,00
Granulometría - Malla 3350 µm;8270;GRANAM;4,30
Granulometría - Malla 3350 µm;8282;GRUPO ALIMENTICIO S.A.;6,60
Granulometría - Malla 3350 µm;8289;GRANAM;3,60
Granulometría - Malla 3350 µm;8292;GRUPO ALIMENTICIO S.A.;6,90
Granulometría - Malla 3350 µm;8301;GRUPO ALIMENTICIO S.A.;6,10
Granulometría - Malla 3350 µm;8302;GRANAM;3,30
Granulometría - Malla 3350 µm;8303;GRANAM;3,30
Granulometría - Malla 3350 µm;8304;GRANAM;3,00
Granulometría - Malla 3350 µm;8309;GRANAM;4,20
Granulometría - Malla 3350 µm;8330;ALIMENTOS TANDIL S.A.;4,50
Granulometría - Malla 3350 µm;8331;GRANAM;3,50
Granulometría - Malla 3350 µm;8339;GRUPO ALIMENTICIO S.A.;9,60
Granulometría - Malla 3350 µm;8340;GRUPO ALIMENTICIO S.A.;8,30
Granulometría - Malla 3350 µm;8341;GRUPO ALIMENTICIO S.A.;7,10
Granulometría - Malla 3350 µm;8343;GRANAM;1,90
Granulometría - Malla 3350 µm;8344;GRANAM;1,40
Granulometría - Malla 3350 µm;8355;GRUPO ALIMENTICIO S.A.;6,60
Granulometría - Malla 3350 µm;8361;GRUPO ALIMENTICIO S.A.;5,20
Granulometría - Malla 3350 µm;8374;GRUPO ALIMENTICIO S.A.;7,90
Granulometría - Malla 3350 µm;8378;GRANAM;4,40
Granulometría - Malla 3350 µm;8386;GRANAM;5,10
Granulometría - Malla 3350 µm;8391;GRUPO ALIMENTICIO S.A.;6,90
Granulometría - Malla 3350 µm;8406;GRUPO ALIMENTICIO S.A.;6,30
Granulometría - Malla 3350 µm;8411;ALIMENTOS TANDIL S.A.;4,90
Granulometría - Malla 3350 µm;8415;GRUPO ALIMENTICIO S.A.;7,00
Granulometría - Malla 3350 µm;8416;GRUPO ALIMENTICIO S.A.;7,70
Granulometría - Malla 3350 µm;8419;GRANAM;3,90
Granulometría - Malla 3350 µm;8436;ALIMENTOS TANDIL S.A.;5,40
Granulometría - Malla 3350 µm;8437;ALIMENTOS TANDIL S.A.;4,50
Granulometría - Malla 3350 µm;8442;GRANAM;8,00
Granulometría - Malla 3350 µm;8446;ALIMENTOS TANDIL S.A.;6,20
Granulometría - Malla 3350 µm;8447;GRANAM;4,90
Granulometría - Malla 3350 µm;8449;GRUPO ALIMENTICIO S.A.;8,00
Granulometría - Malla 3350 µm;8474;GRUPO ALIMENTICIO S.A.;6,10
Granulometría - Malla 3350 µm;8478;ALIMENTOS TANDIL S.A.;2,80
Granulometría - Malla 3350 µm;8481;GRANAM;4,50
Granulometría - Malla 3350 µm;8492;GRUPO ALIMENTICIO S.A.;8,70
Granulometría - Malla 3350 µm;8510;ALIMENTOS TANDIL S.A.;5,70
Granulometría - Malla 3350 µm;8519;GRANAM;4,60
Granulometría - Malla 3350 µm;8548;ALIMENTOS TANDIL S.A.;2,80
Granulometría - Malla 3350 µm;8585;GRANAM;3,20
Granulometría - Malla 3350 µm;8605;GRANAM;1,40
Granulometría - Malla 3350 µm;8606;GRANAM;1,40
Granulometría - Malla 3350 µm;8642;GRUPO ALIMENTICIO S.A.;3,00
Granulometría - Malla 3350 µm;8643;GRUPO ALIMENTICIO S.A.;4,30
Granulometría - Fondo;7481;GRUPO ALIMENTICIO S.A.;1,10
Granulometría - Fondo;7489;GRUPO ALIMENTICIO S.A.;0,50
Granulometría - Fondo;7493;ALIMENTOS TANDIL S.A.;0,20
Granulometría - Fondo;7494;GRUPO ALIMENTICIO S.A.;0,80
Granulometría - Fondo;7524;GRUPO ALIMENTICIO S.A.;0,80
Granulometría - Fondo;7545;GRANAM;0,90
Granulometría - Fondo;7547;GRANAM;0,70
Granulometría - Fondo;7550;GRANAM;0,90
Granulometría - Fondo;7554;GRANAM;0,90
Granulometría - Fondo;7555;GRANAM;0,90
Granulometría - Fondo;7557;GRANAM;0,80
Granulometría - Fondo;7571;GRUPO ALIMENTICIO S.A.;0,70
Granulometría - Fondo;7577;GRANAM;0,90
Granulometría - Fondo;7581;GRANAM;1,10
Granulometría - Fondo;7595;GRANAM;0,90
Granulometría - Fondo;7604;GRUPO ALIMENTICIO S.A.;1,20
Granulometría - Fondo;7607;GRUPO ALIMENTICIO S.A.;0,90
Granulometría - Fondo;7608;GRUPO ALIMENTICIO S.A.;0,60
Granulometría - Fondo;7609;GRUPO ALIMENTICIO S.A.;0,60
Granulometría - Fondo;7623;GRUPO ALIMENTICIO S.A.;0,40
Granulometría - Fondo;7625;GRANAM;0,30
Granulometría - Fondo;7631;ALIMENTOS TANDIL S.A.;0,30
Granulometría - Fondo;7643;GRUPO ALIMENTICIO S.A.;0,50
Granulometría - Fondo;7647;ALIMENTOS TANDIL S.A.;0,20
Granulometría - Fondo;7648;GRUPO ALIMENTICIO S.A.;0,50
Granulometría - Fondo;7659;GRUPO ALIMENTICIO S.A.;0,40
Granulometría - Fondo;7661;ALIMENTOS TANDIL S.A.;0,50
Granulometría - Fondo;7663;GRANAM;0,80
Granulometría - Fondo;7666;IPCON S.A.;0,40
Granulometría - Fondo;7706;ALIMENTOS TANDIL S.A.;0,50
Granulometría - Fondo;7727;GRANAM;0,60
Granulometría - Fondo;7735;ALIMENTOS TANDIL S.A.;0,40
Granulometría - Fondo;7736;GRANAM;1,20
Granulometría - Fondo;7740;GRANAM;0,90
Granulometría - Fondo;7746;GRANAM;1,40
Granulometría - Fondo;7749;GRANAM;1,70
Granulometría - Fondo;7753;GRANAM;0,95
Granulometría - Fondo;7785;GRANAM;0,30
Granulometría - Fondo;7793;GRUPO ALIMENTICIO S.A.;0,30
Granulometría - Fondo;7799;GRANAM;0,40
Granulometría - Fondo;7807;GRUPO ALIMENTICIO S.A.;0,80
Granulometría - Fondo;7808;GRANAM;0,40
Granulometría - Fondo;7815;GRUPO ALIMENTICIO S.A.;0,50
Granulometría - Fondo;7827;GRANAM;0,40
Granulometría - Fondo;7828;GRUPO ALIMENTICIO S.A.;0,30
Granulometría - Fondo;7829;GRUPO ALIMENTICIO S.A.;0,60
Granulometría - Fondo;7821;GRANAM;0,60
Granulometría - Fondo;7832;GRANAM;0,80
Granulometría - Fondo;7833;GRUPO ALIMENTICIO S.A.;0,30
Granulometría - Fondo;7837;GRUPO ALIMENTICIO S.A.;0,80
Granulometría - Fondo;7842;GRUPO ALIMENTICIO S.A.;0,60
Granulometría - Fondo;7856;GRUPO ALIMENTICIO S.A.;0,50
Granulometría - Fondo;7869;GRUPO ALIMENTICIO S.A.;0,40
Granulometría - Fondo;7883;GRUPO ALIMENTICIO S.A.;0,80
Granulometría - Fondo;7884;GRUPO ALIMENTICIO S.A.;0,50
Granulometría - Fondo;7894;GRANAM;1,10
Granulometría - Fondo;7954;GRUPO ALIMENTICIO S.A.;0,20
Granulometría - Fondo;7958;GRANAM;0,60
Granulometría - Fondo;7989;ALIMENTOS TANDIL S.A.;0,90
Granulometría - Fondo;7990;ALIMENTOS TANDIL S.A.;0,40
Granulometría - Fondo;7993;GRUPO ALIMENTICIO S.A.;0,40
Granulometría - Fondo;8002;GRUPO ALIMENTICIO S.A.;0,70
Granulometría - Fondo;8006;GRUPO ALIMENTICIO S.A.;0,40
Granulometría - Fondo;8017;GRANAM;0,80
Granulometría - Fondo;8026;GRANAM;0,80
Granulometría - Fondo;8032;ALIMENTOS TANDIL S.A.;0,10
Granulometría - Fondo;8040;GRANAM;0,50
Granulometría - Fondo;8046;GRUPO ALIMENTICIO S.A.;0,30
Granulometría - Fondo;8048;GRUPO ALIMENTICIO S.A.;0,20
Granulometría - Fondo;8052;GRANAM;1,00
Granulometría - Fondo;8053;GRUPO ALIMENTICIO S.A.;0,00
Granulometría - Fondo;8067;GRUPO ALIMENTICIO S.A.;0,00
Granulometría - Fondo;8071;GRUPO ALIMENTICIO S.A.;0,50
Granulometría - Fondo;8072;GRUPO ALIMENTICIO S.A.;0,30
Granulometría - Fondo;8074;ALIMENTOS TANDIL S.A.;0,00
Granulometría - Fondo;8085;GRANAM;0,70
Granulometría - Fondo;8086;GRUPO ALIMENTICIO S.A.;0,70
Granulometría - Fondo;8087;GRUPO ALIMENTICIO S.A.;0,00
Granulometría - Fondo;8092;ALIMENTOS TANDIL S.A.;0,00
Granulometría - Fondo;8107;ALIMENTOS TANDIL S.A.;0,00
Granulometría - Fondo;8109;GRANAM;0,80
Granulometría - Fondo;8130;GRUPO ALIMENTICIO S.A.;0,00
Granulometría - Fondo;8143;GRUPO ALIMENTICIO S.A.;0,40
Granulometría - Fondo;8208;GRUPO ALIMENTICIO S.A.;0,50
Granulometría - Fondo;8215;GRUPO ALIMENTICIO S.A.;0,50
Granulometría - Fondo;8216;GRUPO ALIMENTICIO S.A.;0,50
Granulometría - Fondo;8217;GRANAM;0,70
Granulometría - Fondo;8236;GRUPO ALIMENTICIO S.A.;0,00
Granulometría - Fondo;8237;GRANAM;3,30
Granulometría - Fondo;8246;ALIMENTOS TANDIL S.A.;0,20
Granulometría - Fondo;8255;GRUPO ALIMENTICIO S.A.;0,40
Granulometría - Fondo;8259;GRUPO ALIMENTICIO S.A.;0,50
Granulometría - Fondo;8263;ALIMENTOS TANDIL S.A.;0,10
Granulometría - Fondo;8264;GRUPO ALIMENTICIO S.A.;0,50
Granulometría - Fondo;8266;GRANAM;1,50
Granulometría - Fondo;8270;GRANAM;1,50
Granulometría - Fondo;8282;GRUPO ALIMENTICIO S.A.;0,60
Granulometría - Fondo;8289;GRANAM;0,50
Granulometría - Fondo;8292;GRUPO ALIMENTICIO S.A.;0,60
Granulometría - Fondo;8301;GRUPO ALIMENTICIO S.A.;0,60
Granulometría - Fondo;8302;GRANAM;0,40
Granulometría - Fondo;8303;GRANAM;0,40
Granulometría - Fondo;8304;GRANAM;0,40
Granulometría - Fondo;8309;GRANAM;0,40
Granulometría - Fondo;8330;ALIMENTOS TANDIL S.A.;0,20
Granulometría - Fondo;8331;GRANAM;0,80
Granulometría - Fondo;8339;GRUPO ALIMENTICIO S.A.;0,80
Granulometría - Fondo;8340;GRUPO ALIMENTICIO S.A.;0,60
Granulometría - Fondo;8341;GRUPO ALIMENTICIO S.A.;0,40
Granulometría - Fondo;8343;GRANAM;1,40
Granulometría - Fondo;8344;GRANAM;0,50
Granulometría - Fondo;8355;GRUPO ALIMENTICIO S.A.;0,30
Granulometría - Fondo;8361;GRUPO ALIMENTICIO S.A.;0,70
Granulometría - Fondo;8374;GRUPO ALIMENTICIO S.A.;0,40
Granulometría - Fondo;8378;GRANAM;0,90
Granulometría - Fondo;8386;GRANAM;2,70
Granulometría - Fondo;8391;GRUPO ALIMENTICIO S.A.;0,50
Granulometría - Fondo;8406;GRUPO ALIMENTICIO S.A.;0,00
Granulometría - Fondo;8411;ALIMENTOS TANDIL S.A.;0,00
Granulometría - Fondo;8415;GRUPO ALIMENTICIO S.A.;0,80
Granulometría - Fondo;8416;GRUPO ALIMENTICIO S.A.;0,70
Granulometría - Fondo;8419;GRANAM;0,90
Granulometría - Fondo;8436;ALIMENTOS TANDIL S.A.;0,30
Granulometría - Fondo;8437;ALIMENTOS TANDIL S.A.;0,20
Granulometría - Fondo;8442;GRANAM;0,80
Granulometría - Fondo;8446;ALIMENTOS TANDIL S.A.;0,30
Granulometría - Fondo;8447;GRANAM;0,60
Granulometría - Fondo;8449;GRUPO ALIMENTICIO S.A.;0,80
Granulometría - Fondo;8474;GRUPO ALIMENTICIO S.A.;0,60
Granulometría - Fondo;8478;ALIMENTOS TANDIL S.A.;0,20
Granulometría - Fondo;8481;GRANAM;0,50
Granulometría - Fondo;8492;GRUPO ALIMENTICIO S.A.;0,60
Granulometría - Fondo;8510;ALIMENTOS TANDIL S.A.;0,30
Granulometría - Fondo;8519;GRANAM;0,40
Granulometría - Fondo;8548;ALIMENTOS TANDIL S.A.;0,10
Granulometría - Fondo;8585;GRANAM;0,50
Granulometría - Fondo;8605;GRANAM;0,10
Granulometría - Fondo;8606;GRANAM;0,10
Granulometría - Fondo;8642;GRUPO ALIMENTICIO S.A.;0,40
Granulometría - Fondo;8643;GRUPO ALIMENTICIO S.A.;0,00
